-1034.751287, -279.233138, 0.0;
-1034.750797, -289.205638, 0.0;
-1034.750308, -299.178137, 0.0;
-1034.749818, -309.150637, 0.0;
-1034.749329, -319.123137, 0.0;
-1034.74884, -329.095637, 0.0;
-1034.74835, -339.068137, 0.0;
-1034.747861, -349.040637, 0.0;
-1034.747371, -359.013137, 0.0;
-1034.746882, -368.985637, 0.0;
-1034.746392, -378.958137, 0.0;
-1034.745903, -388.930637, 0.0;
-1034.745414, -398.903137, 0.0;
-1034.744924, -408.875637, 0.0;
-1034.744435, -418.848137, 0.0;
-1034.743945, -428.820637, 0.0;
-1034.743456, -438.793137, 0.0;
-1034.742967, -448.765637, 0.0;
-1034.742477, -458.738136, 0.0;
-1034.741988, -468.710636, 0.0;
-1034.741498, -478.683136, 0.0;
-1034.741009, -488.655636, 0.0;
-1034.74052, -498.628136, 0.0;
-1034.74003, -508.600636, 0.0;
-1034.739541, -518.573136, 0.0;
-1034.739051, -528.545636, 0.0;
-1034.738562, -538.518136, 0.0;
-1034.738073, -548.490636, 0.0;
-1034.737583, -558.463136, 0.0;
-1034.737094, -568.435636, 0.0;
-1034.736604, -578.408136, 0.0;
-1034.736115, -588.380636, 0.0;
-1034.735626, -598.353136, 0.0;
-1034.735136, -608.325636, 0.0;
-1034.734647, -618.298136, 0.0;
-1034.734157, -628.270635, 0.0;
-1034.733668, -638.243135, 0.0;
-1034.733178, -648.215635, 0.0;
-1034.732689, -658.188135, 0.0;
-1034.7322, -668.160635, 0.0;
-1034.73171, -678.133135, 0.0;
-1034.731221, -688.105635, 0.0;
-1034.730731, -698.078135, 0.0;
-1034.730242, -708.050635, 0.0;
-1034.729753, -718.023135, 0.0;
-1034.729263, -727.995635, 0.0;
-1034.728774, -737.968135, 0.0;
-1034.728284, -747.940635, 0.0;
-1034.727795, -757.913135, 0.0;
-1034.727306, -767.885635, 0.0;
-1034.726816, -777.858135, 0.0;
-1034.726327, -787.830634, 0.0;
-1034.725837, -797.803134, 0.0;
-1034.725348, -807.775634, 0.0;
-1034.724859, -817.748134, 0.0;
-1034.724369, -827.720634, 0.0;
-1034.72388, -837.693134, 0.0;
-1034.72339, -847.665634, 0.0;
-1034.722901, -857.638134, 0.0;
-1034.722411, -867.610634, 0.0;
-1034.721922, -877.583134, 0.0;
-1034.721433, -887.555634, 0.0;
-1034.720943, -897.528134, 0.0;
-1034.720454, -907.500634, 0.0;
-1034.719964, -917.473134, 0.0;
-1034.719475, -927.445634, 0.0;
